           n              err
           1  0.932617486    
           2  0.586790800    
           4  0.219685942    
           8   6.22546338E-02
          16   1.60924345E-02
          32   4.05729376E-03
          64   1.01672264E-03
         128   2.54702201E-04
         256   6.35414399E-05
         512   1.63324148E-05
        1024   3.99369264E-06
        2048   2.08625738E-06
        4096   1.78822052E-06
        8192   8.34502941E-07
       16384   1.19810775E-05
       32768   2.02068932E-05
       65536   9.06627829E-05
      131072   2.25196578E-04
      262144   4.95813962E-04
      524288   1.03740639E-03
     1048576   2.11772998E-03
     2097152   4.27515851E-03
     4194304   8.57189484E-03
     8388608   1.70945544E-02
    16777216   3.38570364E-02
    33554432   7.78215677E-02
    67108864  0.127681509    
   134217728  0.322870612    
   268435456  0.499977291    
   536870912  0.749988616    
  1073741824  0.755459309    
