           n              err
           1  0.93261747084705460     
           2  0.58679082536226101     
           4  0.21968592835209777     
           8   6.2254682716301545E-002
          16   1.6092495541150081E-002
          32   4.0574503854850716E-003
          64   1.0165287080496376E-003
         128   2.5426788569934625E-004
         256   6.3575458335624066E-005
         512   1.5894395095728287E-005
        1024   3.9736319323036018E-006
        2048   9.9341005470733830E-007
        4096   2.4835264355106918E-007
        8192   6.2088170547146148E-008
       16384   1.5522044357710354E-008
       32768   3.8805082304735039E-009
       65536   9.7013216487615831E-010
      131072   2.4253645530983978E-010
      262144   6.0638471650676464E-011
      524288   1.5141686996759097E-011
     1048576   3.7394009154764440E-012
     2097152   9.2885475234192193E-013
     4194304   2.5014460399549962E-013
     8388608   1.5566033502072370E-013
    16777216   4.0302925543882095E-014
    33554432   9.9744999853557982E-010
    67108864   6.1129343519426060E-009
   134217728   1.0672134411250921E-008
   268435456   9.9701909031428965E-009
   536870912   6.8154761864025757E-009
  1073741824   3.9851113094433715E-009
